Chelsea v West Ham
0 - 0: 0.9039
0 - 1: 0.0544
0 - 2: 0.0277
0 - 3: 0.0138
1 - 0: 3.9039
1 - 1: 0.0544
1 - 2: 0.0277
1 - 3: 0.0138
2 - 0: 3.9039
2 - 1: 3.0544
2 - 2: 0.0277
2 - 3: 0.0138
3 - 0: 6.473
3 - 1: 3.9729
3 - 2: 3.8996
3 - 3: 0.8857

Brentford v Newcastle
0 - 0: 2.0314
0 - 1: 1.6658
0 - 2: 1.4585
0 - 3: 1.2638
1 - 0: 2.0862
1 - 1: 2.253
1 - 2: 1.6157
1 - 3: 1.3902
2 - 0: 1.9407
2 - 1: 2.0394
2 - 2: 1.937
2 - 3: 1.2796
3 - 0: 1.7357
3 - 1: 1.8104
3 - 2: 1.6385
3 - 3: 1.6378

Arsenal v Man City
0 - 0: 1.5913
0 - 1: 2.6738
0 - 2: 2.6996
0 - 3: 2.544
1 - 0: 1.058
1 - 1: 1.7739
1 - 2: 2.7091
1 - 3: 2.5398
2 - 0: 0.8581
2 - 1: 1.0497
2 - 2: 1.5878
2 - 3: 2.3167
3 - 0: 0.7057
3 - 1: 0.8616
3 - 2: 0.8818
3 - 3: 1.3309

Stoke v Tottenham
0 - 0: 1.5837
0 - 1: 2.7182
0 - 2: 2.7509
0 - 3: 2.6267
1 - 0: 0.9683
1 - 1: 1.7587
1 - 2: 2.7481
1 - 3: 2.6151
2 - 0: 0.7758
2 - 1: 0.9698
2 - 2: 1.5803
2 - 3: 2.3889
3 - 0: 0.6354
3 - 1: 0.791
3 - 2: 0.8153
3 - 3: 1.3419

Hibernian v St Mirren
0 - 0: 1.9604
0 - 1: 1.1917
0 - 2: 0.9301
0 - 3: 0.7833
1 - 0: 2.7097
1 - 1: 2.0704
1 - 2: 1.1105
1 - 3: 0.937
2 - 0: 2.6034
2 - 1: 2.5239
2 - 2: 1.7496
2 - 3: 0.8784
3 - 0: 2.3809
3 - 1: 2.3035
3 - 2: 2.0544
3 - 3: 1.4799

Celtic v Ross Co
0 - 0: 1.1867
0 - 1: 0.5012
0 - 2: 0.2887
0 - 3: 0.1845
1 - 0: 3.4209
1 - 1: 1.1263
1 - 2: 0.4379
1 - 3: 0.3019
2 - 0: 3.583
2 - 1: 3.2863
2 - 2: 1.0042
2 - 3: 0.3849
3 - 0: 3.5281
3 - 1: 3.2428
3 - 2: 2.963
3 - 3: 0.8464

St Johnstone v Rangers
0 - 0: 1.4112
0 - 1: 3.1233
0 - 2: 3.2022
0 - 3: 3.0799
1 - 0: 0.7776
1 - 1: 1.4501
1 - 2: 3.0121
1 - 3: 2.9048
2 - 0: 0.5535
2 - 1: 0.7249
2 - 2: 1.2696
2 - 3: 2.6363
3 - 0: 0.428
3 - 1: 0.5796
3 - 2: 0.6235
3 - 3: 1.0776

Motherwell v Aberdeen
0 - 0: 2.1056
0 - 1: 2.0899
0 - 2: 1.9007
0 - 3: 1.6915
1 - 0: 1.738
1 - 1: 2.2798
1 - 2: 1.9793
1 - 3: 1.7485
2 - 0: 1.5117
2 - 1: 1.6317
2 - 2: 1.9245
2 - 3: 1.5643
3 - 0: 1.3172
3 - 1: 1.4165
3 - 2: 1.2843
3 - 3: 1.6243

Everton v Man Utd
0 - 0: 1.8471
0 - 1: 2.1547
0 - 2: 2.0607
0 - 3: 1.8832
1 - 0: 1.5048
1 - 1: 2.0914
1 - 2: 2.1812
1 - 3: 1.9683
2 - 0: 1.3407
2 - 1: 1.5288
2 - 2: 1.8662
2 - 3: 1.8145
3 - 0: 1.1627
3 - 1: 1.3077
3 - 2: 1.2458
3 - 3: 1.5617
