Chelsea v West Ham
0 - 0: 1.5663
0 - 1: 0.4201
0 - 2: 0.1972
0 - 3: 0.1259
1 - 0: 4.1406
1 - 1: 1.9486
1 - 2: 0.8143
1 - 3: 0.6694
2 - 0: 3.7077
2 - 1: 3.1508
2 - 2: 1.3856
2 - 3: 0.4668
3 - 0: 3.1478
3 - 1: 2.7613
3 - 2: 2.499
3 - 3: 1.0452

Brentford v Newcastle
0 - 0: 2.0493
0 - 1: 1.6689
0 - 2: 1.4569
0 - 3: 1.2658
1 - 0: 2.0744
1 - 1: 2.2688
1 - 2: 1.609
1 - 3: 1.3885
2 - 0: 1.9266
2 - 1: 2.0374
2 - 2: 1.952
2 - 3: 1.2801
3 - 0: 1.7205
3 - 1: 1.8025
3 - 2: 1.627
3 - 3: 1.6511

Arsenal v Man City
0 - 0: 1.5812
0 - 1: 2.6749
0 - 2: 2.7139
0 - 3: 2.5461
1 - 0: 1.0627
1 - 1: 1.7514
1 - 2: 2.7122
1 - 3: 2.5344
2 - 0: 0.8642
2 - 1: 1.0546
2 - 2: 1.578
2 - 3: 2.313
3 - 0: 0.7143
3 - 1: 0.8689
3 - 2: 0.8967
3 - 3: 1.3173

Stoke v Tottenham
0 - 0: 1.5709
0 - 1: 2.734
0 - 2: 2.7738
0 - 3: 2.6411
1 - 0: 0.9519
1 - 1: 1.742
1 - 2: 2.77
1 - 3: 2.6284
2 - 0: 0.7693
2 - 1: 0.9559
2 - 2: 1.5786
2 - 3: 2.4108
3 - 0: 0.622
3 - 1: 0.773
3 - 2: 0.8015
3 - 3: 1.3289

Hibernian v St Mirren
0 - 0: 1.966
0 - 1: 1.2102
0 - 2: 0.9504
0 - 3: 0.8052
1 - 0: 2.6899
1 - 1: 2.0605
1 - 2: 1.1241
1 - 3: 0.9485
2 - 0: 2.5879
2 - 1: 2.4992
2 - 2: 1.7466
2 - 3: 0.894
3 - 0: 2.3686
3 - 1: 2.2859
3 - 2: 2.0411
3 - 3: 1.4804

Celtic v Ross Co
0 - 0: 1.1903
0 - 1: 0.5049
0 - 2: 0.2953
0 - 3: 0.1888
1 - 0: 3.42
1 - 1: 1.1368
1 - 2: 0.451
1 - 3: 0.31
2 - 0: 3.5602
2 - 1: 3.2725
2 - 2: 1.0074
2 - 3: 0.3837
3 - 0: 3.5065
3 - 1: 3.2333
3 - 2: 2.9567
3 - 3: 0.849

St Johnstone v Rangers
0 - 0: 1.4361
0 - 1: 3.1312
0 - 2: 3.2028
0 - 3: 3.0856
1 - 0: 0.7633
1 - 1: 1.4739
1 - 2: 3.0077
1 - 3: 2.9053
2 - 0: 0.54
2 - 1: 0.7142
2 - 2: 1.2882
2 - 3: 2.6307
3 - 0: 0.4155
3 - 1: 0.5667
3 - 2: 0.6121
3 - 3: 1.0957

Motherwell v Aberdeen
0 - 0: 2.1058
0 - 1: 2.0639
0 - 2: 1.872
0 - 3: 1.6666
1 - 0: 1.7782
1 - 1: 2.2851
1 - 2: 1.9584
1 - 3: 1.7327
2 - 0: 1.5313
2 - 1: 1.6519
2 - 2: 1.9179
2 - 3: 1.5366
3 - 0: 1.3403
3 - 1: 1.4344
3 - 2: 1.2979
3 - 3: 1.6194

Everton v Man Utd
0 - 0: 1.8463
0 - 1: 2.1342
0 - 2: 2.042
0 - 3: 1.8653
1 - 0: 1.5282
1 - 1: 2.1016
1 - 2: 2.1658
1 - 3: 1.9639
2 - 0: 1.3578
2 - 1: 1.5404
2 - 2: 1.8711
2 - 3: 1.8087
3 - 0: 1.1686
3 - 1: 1.3161
3 - 2: 1.2547
3 - 3: 1.5621
