Chelsea v West Ham
0 - 0: 1.3506
0 - 1: 0.5282
0 - 2: 0.2972
0 - 3: 0.2067
1 - 0: 3.5144
1 - 1: 1.6773
1 - 2: 0.7213
1 - 3: 0.5719
2 - 0: 3.5732
2 - 1: 3.338
2 - 2: 1.4031
2 - 3: 0.6078
3 - 0: 3.1758
3 - 1: 2.9741
3 - 2: 2.6572
3 - 3: 1.0696

Brentford v Newcastle
0 - 0: 2.0771
0 - 1: 1.6883
0 - 2: 1.4886
0 - 3: 1.2964
1 - 0: 2.0465
1 - 1: 2.2652
1 - 2: 1.6225
1 - 3: 1.4021
2 - 0: 1.9022
2 - 1: 1.9983
2 - 2: 1.9668
2 - 3: 1.3007
3 - 0: 1.6943
3 - 1: 1.7643
3 - 2: 1.6014
3 - 3: 1.6635

Arsenal v Man City
0 - 0: 1.5986
0 - 1: 2.6585
0 - 2: 2.6863
0 - 3: 2.5377
1 - 0: 1.0514
1 - 1: 1.777
1 - 2: 2.6934
1 - 3: 2.5277
2 - 0: 0.8606
2 - 1: 1.0557
2 - 2: 1.6023
2 - 3: 2.3181
3 - 0: 0.7074
3 - 1: 0.8614
3 - 2: 0.8832
3 - 3: 1.3425

Stoke v Tottenham
0 - 0: 1.5765
0 - 1: 2.7219
0 - 2: 2.7656
0 - 3: 2.6295
1 - 0: 0.9736
1 - 1: 1.7458
1 - 2: 2.7553
1 - 3: 2.6157
2 - 0: 0.7773
2 - 1: 0.9677
2 - 2: 1.5679
2 - 3: 2.386
3 - 0: 0.6375
3 - 1: 0.786
3 - 2: 0.8171
3 - 3: 1.328

Hibernian v St Mirren
0 - 0: 1.9556
0 - 1: 1.2154
0 - 2: 0.959
0 - 3: 0.8096
1 - 0: 2.6928
1 - 1: 2.0521
1 - 2: 1.1364
1 - 3: 0.959
2 - 0: 2.5768
2 - 1: 2.4881
2 - 2: 1.7319
2 - 3: 0.8932
3 - 0: 2.3695
3 - 1: 2.2923
3 - 2: 2.047
3 - 3: 1.4727

Celtic v Ross Co
0 - 0: 1.1875
0 - 1: 0.5152
0 - 2: 0.3004
0 - 3: 0.1929
1 - 0: 3.4075
1 - 1: 1.1435
1 - 2: 0.458
1 - 3: 0.3146
2 - 0: 3.555
2 - 1: 3.2774
2 - 2: 1.0151
2 - 3: 0.392
3 - 0: 3.5036
3 - 1: 3.2352
3 - 2: 2.9527
3 - 3: 0.8536

St Johnstone v Rangers
0 - 0: 1.4201
0 - 1: 3.1658
0 - 2: 3.2316
0 - 3: 3.1077
1 - 0: 0.7455
1 - 1: 1.4539
1 - 2: 3.0287
1 - 3: 2.9202
2 - 0: 0.5222
2 - 1: 0.702
2 - 2: 1.2627
2 - 3: 2.647
3 - 0: 0.4033
3 - 1: 0.5599
3 - 2: 0.601
3 - 3: 1.0752

Motherwell v Aberdeen
0 - 0: 2.1215
0 - 1: 2.0657
0 - 2: 1.8688
0 - 3: 1.6689
1 - 0: 1.7601
1 - 1: 2.3028
1 - 2: 1.9552
1 - 3: 1.7362
2 - 0: 1.5195
2 - 1: 1.6511
2 - 2: 1.94
2 - 3: 1.5458
3 - 0: 1.325
3 - 1: 1.4288
3 - 2: 1.2884
3 - 3: 1.6409

Everton v Man Utd
0 - 0: 1.8669
0 - 1: 2.147
0 - 2: 2.0553
0 - 3: 1.8702
1 - 0: 1.5057
1 - 1: 2.1264
1 - 2: 2.1788
1 - 3: 1.9666
2 - 0: 1.3374
2 - 1: 1.5211
2 - 2: 1.8838
2 - 3: 1.8056
3 - 0: 1.152
3 - 1: 1.3027
3 - 2: 1.2364
3 - 3: 1.5794
